2023년 3월 7일 화요일
	번호	곡명	가수	설명	
	1	s'Rothe-Zauerli (B기도문)	Ose Schuppel		
	2	Tell Me It's Not Over (타이틀 뮤직)	Starsailor		
	3	Beer Can	Luke Combs		
	4	춤추는 사람들	파울로시티		
	5	BABEL	안다영		
	6	Bout It	Liv.e		
	7	Part-Time Lover (마음의 소리)	Stevie Wonder		
	8	In The Stars	Benson Boone		
	9	꽃이 바람에게 전하는 말	예민		
	10	Stem	Salamanda		
	11	Schubert: Piano Quintet in A Major, Op. 114, D 667 - "The Trout" - IV. Thema - Andantino - Variazioni I-V - Allegretto	Anne-Sophie Mutter, Daniil Trifonov, Hwayoon Lee, Maximilian Hornung, Roman Patkolo		
