2023년 11월 30일 목요일
	번호	곡명	가수	설명	
	1	s'Rothe-Zauerli (B기도문)	Ose Schuppel		
	2	Tell Me It's Not Over (타이틀 뮤직)	Starsailor		
	3	Question (Feat. Travis Mills)	Lauv		
	4	그대를 생각하다 웃습니다 (B의 곡)	한승석 & 정재일		
	5	Man's World	Coi Leray, James Brown		
	6	Oyster Bar	양반들 (Yangbans)		
	7	You're Only Lonely (배순탁의 일타영어)	JD Souther		
	8	Waiting For The Moon To Rise	Belle & Sebastian		
	9	For Granted	Dinner Party, Terrace Martin, Robert Glasper, Kamasi Washington, 9th Wonder		
	10	Can I Call You Rose? (Audiotree Live Version)	Thee Sacred Souls, Audiotree		
	11	Love Has Come Around	Donald Byrd		
