2023년 6월 3일 토요일
	번호	곡명	가수	설명	
	1	s'Rothe-Zauerli (B기도문)	Ose Schuppel		
	2	Tell Me It's Not Over (타이틀 뮤직)	Starsailor		
	3	Go Through It	Mamas Gun		
	4	If You Think You're Lonely Now	Bobby Womack		
	5	Sister Surround	The Soundtrack Of Our Lives		
	6	J'en ai marre !	Alizee		
	7	Mendelssohn : String Octet, Op. 20, in E-Flat: Allegro moderato ma con fuoco (노래가 긴 게 죄는 아니야)	Jascha Heifetz, Israel Baker, Arnold Belnick, Joseph Stepansky, William Primrose, Virginia Majewski, Gregor Piatigorsky, Gabor Rejto		
	8	This Woman's Work	Maxwell		
	9	Oh Well, OK	Elliott Smith		
	10	Lady Starlight	Scorpions		
