2022년 4월 20일 수요일
	번호	곡명	가수	설명	
	1	s'Rothe-Zauerli (B기도문)	Ose Schuppel		
	2	Tell Me It's Not Over (타이틀 뮤직)	Starsailor		
	3	Orion (NHK TV 애니메이션『3월의 라이온』2쿨 엔딩곡)	Yonezu Kenshi		
	4	멈춰 서게 하는 것들	홍예진		
	5	Feelings Of Sentimentality Due To Getting Curved	Flamingosis		
	6	그들의 Blues (Feat. 한대수)	이승열		
	7	The Rain Song	Led Zeppelin		
	8	Come Alive	Foo Fighters		
	9	Picture Of You	Sara Kays		
	10	Fake A Smile (Feat. salem ilese)	Alan Walker		
	11	Mozart : Symphony No.40 In G Minor K.550 - I. Molto Allegro (모차르트 : 교향곡 40번 사단조 - 1악장)	Wiener Philharmoniker		
