2023년 1월 10일 화요일
	번호	곡명	가수	설명	
	1	s'Rothe-Zauerli (B기도문)	Ose Schuppel		
	2	Tell Me It's Not Over (타이틀 뮤직)	Starsailor		
	3	At My Best (Feat. Hailee Steinfeld)	Machine Gun Kelly		
	4	Donizetti: L'elisir d'amore / Act 2 - "Una furtiva lagrima...Eccola!"	English Chamber Orchestra, Richard Bonynge, Luciano Pavarotti, Joan Sutherland		
	5	Over (Feat. Yebba)	Robert Glasper		
	6	불꽃	이루리		
	7	Bad Case Of Loving You (Doctor, Doctor)	Robert Palmer		
	8	Cuddly Toy (Mono)	Harry Nilsson		
	9	Salma Ya Salama	Mika, Ibrahim Maalouf		
	10	White Gloves	Khruangbin		
	11	Trilogy Suite Op: 5 (Album Version)	Yngwie Malmsteen		
