2024년 5월 22일 수요일
	번호	곡명	가수	설명	
	1	s'Rothe-Zauerli (B기도문)	Ose Schuppel		
	2	Tell Me It's Not Over (타이틀 뮤직)	Starsailor		
	3	Go Now (From "Sing Street" Original Motion Picture Soundtrack)	Adam Levine		
	4	Double Life (B의 곡)	Chuck Loeb		
	5	If I Knew Then	Backstreet Boys		
	6	4DL (four-dimensional love)	팔칠댄스 (87dance)		
	7	Comedian (이스터에그를 찾아라)	Zion.T		
	8	Hey Big Star (이스터에그를 찾아라)	Kishi Bashi		
	9	Satie: Je Te Veux (난 당신을 원해요)	Tim Hardin Trio		
	10	Maria (You Were The Only One)	Michael Jackson		
	11	청춘찬가	세븐틴 (SEVENTEEN)		
	12	Beethoven's Piano Sonata No. 8, Pathetique (Feat. Anthony Jackson & Simon Phillips)	Hiromi		
