2024년 1월 17일 수요일
	번호	곡명	가수	설명	
	1	s'Rothe-Zauerli (B기도문)	Ose Schuppel		
	2	Tell Me It's Not Over (타이틀 뮤직)	Starsailor		
	3	Art of Love	Guy Sebastian, Jordin Sparks		
	4	Blue Bossa (B의 곡)	Eddie Higgins Trio		
	5	Casual	Jesse Barrera, Johnny Stimson, Jeff Bernat		
	6	Asian Sky	Steve Vai		
	7	Night In Camp Nou (Feat. 정엽) (이스터에그를 찾아라)	박주원		
	8	룩셈부르크 (이스터에그를 찾아라)	크라잉넛 (CRYING NUT)		
	9	Lemon	W		
	10	Cherry	Jungle		
	11	아래로	허클베리핀 (Huckleberryfinn)		
	12	Night Rhythms (Live (1997 Ash Grove In Santa Monica))	Lee Ritenour		
