2023년 9월 9일 토요일
	번호	곡명	가수	설명	
	1	s'Rothe-Zauerli (B기도문)	Ose Schuppel		
	2	Tell Me It's Not Over (타이틀 뮤직)	Starsailor		
	3	Daniel, You're Still a Child	Declan McKenna		
	4	Operator (That's Not the Way It Feels) (B의 곡)	Jim Croce		
	5	서서히 다가오는 저 달을 품에 안고	Lacuna (라쿠나)		
	6	Tell Me When	Christian Kuria		
	7	Invincible (노래가 긴 게 죄는 아니야)	Tool		
	8	Blue Velvet	Branford Marsalis Quartet, Kurt Elling		
	9	목포의 눈물	한영애		
	10	Mozart : Vesperae Solennes De Confessore In C Major K.339 - V. Laudate Dominum Omnes Gentes (Arr. Vikingur Olafsson) (모차르트 : 구도자를 위한 저녁기도 다장조 - 5번. 모든 백성은 주를 찬미하라) (Grand Piano)	Vikingur Olafsson		
