2023년 11월 15일 수요일
	번호	곡명	가수	설명	
	1	s'Rothe-Zauerli (B기도문)	Ose Schuppel		
	2	Tell Me It's Not Over (타이틀 뮤직)	Starsailor		
	3	풍선	장필순		
	4	Drone Bomb Me (B의 곡)	Anohni		
	5	It's Not Living (If It's Not With You)	The 1975		
	6	Tentaikansoku (2022 Rerecording Version)	Bump Of Chicken		
	7	AWESOME (Feat. 박재범 & GRAY) (이스터에그를 찾아라)	로꼬		
	8	골든 글러브 (이스터에그를 찾아라)	마이 앤트 메리		
	9	Second Tempo: Andante - Most Dear Lady	New Trolls		
	10	Boxing	Ben Folds Five		
	11	Un soir de pluie	Blues Trottoir		
	12	WE WILL (From "BLUE GIANT" Soundtrack)	Hiromi, Shun Ishiwaka, Tomoaki Baba		
