2022년 12월 17일 토요일
	번호	곡명	가수	설명	
	1	s'Rothe-Zauerli (B기도문)	Ose Schuppel		
	2	Tell Me It's Not Over (타이틀 뮤직)	Starsailor		
	3	Diversity	Family Of The Year		
	4	Richter: Recomposed By Max Richter: Vivaldi, The Four Seasons - Winter 1	Max Richter, Daniel Hope, Raphael Alpermann, Konzerthaus Kammerorchester Berlin, Andre De Ridder		
	5	Richter: Recomposed By Max Richter: Vivaldi, The Four Seasons - Winter 2	Max Richter, Daniel Hope, Konzerthaus Kammerorchester Berlin, Andre De Ridder		
	6	Richter: Recomposed By Max Richter: Vivaldi, The Four Seasons - Winter 3	Max Richter, Daniel Hope, Konzerthaus Kammerorchester Berlin, Andre De Ridder		
	7	La Rue	Cortex		
	8	Episode	Gallant		
	9	Gershwin: Rhapsody In Blue	Riccardo Chailly, Stefano Bollani, Gewandhausorchester Leipzig		
	10	붉은하늘	이상의날개		
