2024년 1월 5일 금요일
	번호	곡명	가수	설명	
	1	s'Rothe-Zauerli (B기도문)	Ose Schuppel		
	2	Tell Me It's Not Over (타이틀 뮤직)	Starsailor		
	3	I'd Rather (Live at Radio City Music Hall, New York - Feb. 11, 2003)			
	4	그때 까지만 (B의 곡)	김지연		
	5	CooCool	Roisin Murphy		
	6	AKA...Broken Arrow (Album Version)	Noel Gallagher's High Flying Birds		
	7	The Drugs Don'T Work (공부하면 더 재밌어)	The Verve		
	8	Sometimes (공부하면 더 재밌어)	James		
	9	I Wonder (Departure)	ABBA		
	10	My Love Mine All Mine	Mitski		
	11	Carlito's Way	Patrick Doyle		
