2021년 10월 16일 토요일
	번호	곡명	가수	설명	
	1	s'Rothe-Zauerli (B기도문)	Ose Schuppel		
	2	Tell Me It's Not Over (타이틀 뮤직)	Starsailor		
	3	넌 쉽게 말했지만	윤상		
	4	Maldive	푸딩		
	5	Out To Get You	James		
	6	수성의 하루	쏜애플 (THORNAPPLE)		
	7	Mozart : Sonata For Piano And Violin In G Major K.379 - Ia. Adagio (모차르트 : 피아노와 바이올린을 위한 소나타 사장조 - 1a악장) (Live)	Hilary Hahn		
	8	Mozart : Sonata For Piano And Violin In G Major K.379 - Ib. Adagio (모차르트 : 피아노와 바이올린을 위한 소나타 사장조 - 1b악장) (Live)	Hilary Hahn	javascript:__doPostBack('lnkSave','')	
	9	외면	이승환		
	10	Autumn Breeze	거미		
	11	Silence And I	Alan Parsons Project		
