2021년 12월 25일 토요일
	번호	곡명	가수	설명	
	1	s'Rothe-Zauerli (B기도문)	Ose Schuppel		
	2	Tell Me It's Not Over (타이틀 뮤직)	Starsailor		
	3	Lego House	Ed Sheeran		
	4	O Tannenbaum	Vince Guaraldi		
	5	Christmas Eve	Yamashita Tatsuro		
	6	크리스마스에 비와라	왑띠		
	7	Messiah Hwv56, Part 2: Hallelujah (Chorus: Allegro)	Cambridge King's College Choir		
	8	Messiah Hwv56, Part 3: Worthy Is The Lamb (Chorus: Largo - Andante - Laghetto)	Cambridge King's College Choir		
	9	Messiah Hwv56, Part 3: Amen (Chorus: Allegro Moderato)	Cambridge King's College Choir		
	10	또 한 번의 크리스마스 (feat. 정승환)	루시드폴		
	11	겨울나무 (I'm all ears)	태연 (TAEYEON)		
	12	Oh Holy Night	Christina Aguilera		
