2023년 12월 25일 월요일
	번호	곡명	가수	설명	
	1	s'Rothe-Zauerli (B기도문)	Ose Schuppel		
	2	Tell Me It's Not Over (타이틀 뮤직)	Starsailor		
	3	Super Mario Bros - Theme	London Philharmonic Orchestra, Andrew Skeet		
	4	THE CHRISTMAS SONG (B의 곡)	Takeuchi Mariya		
	5	Give Love On Christmas Day	PJ Morton		
	6	이방인	크르르		
	7	Handel : Messiah Part.II - Chorus. Hallelujah! (합창) (헨델 : 메시아 2부 - 합창. 할렐루야) (노래가 긴 게 죄는 아니야)	Bulgarian Chapel Choir, Sofia Philharmonic Orchestra		
	8	Handel : Messiah Part.III - Chorus. Worthy Is The Lamb, Amen (합창) (헨델 : 메시아 3부 - 합창. 죽임 당하신 어린양, 아멘) (노래가 긴 게 죄는 아니야)	Bulgarian Chapel Choir, Sofia Philharmonic Orchestra		
	9	Winter Wonderland	Laufey		
	10	I'll Be Home For Christmas	성시경		
	11	Merry Christmas Mr. Lawrence - Main Theme (From 'Merry Christmas Mr. Lawrence')	Brussels Philharmonic, Dirk Brosse		
