2022년 1월 26일 수요일
	번호	곡명	가수	설명	
	1	s'Rothe-Zauerli (B기도문)	Ose Schuppel		
	2	Tell Me It's Not Over (타이틀 뮤직)	Starsailor		
	3	No Boundaries	Adam Lambert		
	4	Todo Cambia	Mercedes Sosa, Jorge Giuliano, Chango Farias Gomez		
	5	Academic	New Order		
	6	child's water	더 매거스 (The magus)		
	7	Tears Dry On Their Own	Amy Winehouse		
	8	Take The Dive	종현 (JONGHYUN)		
	9	황계사	해금살롱		
	10	사랑한다는 말은	바다 (BADA)		
	11	Donizetti : Lucia Di Lammermoor Act.I - Regnava Nel Silenzio (Lucia, Alisa) (도니제티 : 람메르무어의 루치아 1막 - 깊고 어두운 밤이 고요하게 내리고)	Diana Damrau		
