2023년 1월 13일 금요일
	번호	곡명	가수	설명	
	1	s'Rothe-Zauerli (B기도문)	Ose Schuppel		
	2	Tell Me It's Not Over (타이틀 뮤직)	Starsailor		
	3	Jealousy (Live At The Mermaid Theatre)	Pet Shop Boys with Robbie Williams		
	4	나의 아름다운 노래가 당신의 마음을 깨끗하게 할 수 있다면	봄여름가을겨울		
	5	you were there for me	Henry Moodie		
	6	Riptide	The Chainsmokers		
	7	J.Strauss II : An Der Schonen Blauen Donau Waltz Op.314 (요한 슈트라우스 2세 : 아름답고 푸른 도나우 왈츠 작품번호 314)	Franz Welser-Most, Vienna Philharmonic Orchestra		
	8	J.Strauss : Radetzky-Marsch Op.228 (요한 슈트라우스 : 라데츠키 행진곡 작품번호 228)	Franz Welser-Most, Vienna Philharmonic Orchestra		
	9	멀리서 (Feat. 김지혜)	손성제		
	10	Overture	Symphony X		
	11	Nevermore	Symphony X		
