2024년 4월 7일 일요일
	번호	곡명	가수	설명	
	1	s'Rothe-Zauerli (B기도문)	Ose Schuppel		
	2	Tell Me It's Not Over (타이틀 뮤직)	Starsailor		
	3	Hug	동방신기 (TVXQ!)		
	4	One in a Million (B의 곡)	Pet Shop Boys		
	5	What Cha' Gonna Do For Me	Chaka Khan		
	6	Wine From The Water	Alan Parsons Project		
	7	Dark Fantasy (삼위일체의 시간)	Kanye West		
	8	All Of The Lights (Interlude) (삼위일체의 시간)	Kanye West		
	9	All Of The Lights (삼위일체의 시간)	Kanye West		
	10	Runaway (Feat. Pusha T) (삼위일체의 시간)	Kanye West		
	11	Good, but not together	Valley		
